object_id,event_id,lat,lng,event_date,size,country,landslide_category
3843713,5898,-6.195,106.6254,2014-02-23 00:00:00,large,Indonesia,landslide
3843714,7389,24.4072,94.0644,2015-08-01 00:00:00,medium,India,landslide
3843715,6343,7.1733,124.2185,2014-09-07 00:00:00,small,Philippines,landslide
3843716,8895,14.8271,120.2685,2016-07-09 00:00:00,small,Philippines,landslide
3843717,8252,43.6554,-123.6579,2014-12-21 08:51:00,unknown,United States,landslide
3843718,46,15.4508,43.9605,2007-03-26 00:00:00,medium,Yemen,landslide
3843719,1252,16.4992,120.566,2009-10-09 00:00:00,medium,Philippines,landslide
3843720,8985,54.2485,-4.4647,2015-12-03 16:30:00,medium,Isle of Man,landslide
3843722,5068,30.3629,79.2143,2013-07-10 04:30:00,medium,India,landslide
3843723,3108,44.1447,39.0616,2011-02-11 00:00:00,medium,Russian Federation,landslide
3843725,1870,37.56106267,70.42633454999998,2010-05-17 00:00:00,medium,Afghanistan,landslide
3843726,6412,3.8258,101.383,2014-12-01 20:00:00,medium,Malaysia,landslide
3843727,3432,-40.1513,176.8426,2011-04-27 00:00:00,medium,New Zealand,landslide
3843728,2713,15.4546,108.6849,2010-11-11 15:00:00,medium,Vietnam,landslide
3843729,7456,14.5742,-87.7286,2015-10-16 23:00:00,medium,Honduras,landslide
3843730,2437,23.7527,92.694,2010-09-16 00:00:00,medium,India,landslide
3843731,2648,33.0107,74.9397,2010-10-22 00:00:00,medium,India,landslide
3843732,5891,47.3174,-122.1323,2014-02-21 00:00:00,medium,United States,landslide
3843733,7498,9.2102,-82.3705,2015-06-29 00:00:00,medium,Panama,landslide
3843734,6086,20.4516,105.1433,2014-06-23 00:00:00,medium,Vietnam,landslide
3843735,486,62.4746,6.1628,2008-03-26 00:00:00,medium,Norway,landslide
3843736,1232,16.8828,120.7802,2009-10-08 00:00:00,medium,Philippines,landslide
3843741,5818,-8.1587,115.1771,2014-01-23 18:00:00,large,Indonesia,landslide
3843742,8628,43.2885,-122.5843,2012-03-22 09:17:00,unknown,United States,landslide
3843744,10040,-41.286411,174.76940299999995,2016-11-12 00:00:00,small,New Zealand,landslide
3843747,8431,45.8515,-118.9,2013-11-09 20:04:00,unknown,United States,landslide
3843748,6994,40.4802,-106.8393,2015-04-27 00:00:00,medium,United States,landslide
3843749,485,40.5573,-80.707,2008-03-24 00:00:00,small,United States,landslide
3843750,6794,-38.1543,145.11,2015-02-24 00:00:00,small,Australia,landslide
3843753,9600,41.8582,41.9574,2016-09-25 23:00:00,medium,Georgia,landslide
3843755,5955,-6.822,107.6073,2014-03-16 00:00:00,medium,Indonesia,landslide
3843758,2234,31.958000000000002,77.1104,2010-08-11 05:00:00,medium,India,landslide
3843760,1679,-22.9849,-43.696999999999996,2010-04-06 00:00:00,medium,Brazil,landslide
3843761,4876,35.8562,74.5101,2013-05-26 00:00:00,medium,Pakistan,landslide
3843762,570,22.6214,114.0818,2008-06-06 00:00:00,medium,China,landslide
3843763,7518,17.4054,-91.2988,2015-10-15 00:00:00,medium,Mexico,landslide
3843764,6532,-33.7106,151.3013,2014-08-18 00:00:00,small,Australia,landslide
3843767,3304,9.3825,98.7612,2011-03-27 00:00:00,medium,Thailand,landslide
3843769,5259,35.4781,74.5049,2013-08-03 09:00:00,medium,Pakistan,landslide
3843770,8042,44.6398,-123.9361,2015-12-20 08:21:00,unknown,United States,landslide
3843771,5307,1.0333,34.25,2013-08-10 03:00:00,medium,Uganda,landslide
3843773,8412,46.1669,-123.8109,2013-12-27 12:11:00,unknown,United States,landslide
3843774,1942,36.3128,74.6511,2010-06-04 00:00:00,medium,Pakistan,landslide
3843775,8361,44.9861,-122.7444,2014-03-03 13:30:00,unknown,United States,landslide
3843777,500,-0.9672,100.4322,2008-04-16 00:00:00,medium,Indonesia,landslide
3843779,462,13.6944,123.7851,2008-02-21 00:00:00,medium,Philippines,landslide
3843780,4410,10.1014,-83.4578,2012-06-14 00:00:00,medium,Costa Rica,landslide
3843781,8544,42.278999999999996,-124.4045,2012-11-21 04:19:00,unknown,United States,landslide
3843782,2148,28.4763,83.5309,2010-07-26 00:00:00,medium,Nepal,landslide
3843783,5622,51.211000000000006,-4.1252,2013-11-02 23:00:00,small,United Kingdom,landslide
3843784,7371,23.9939,94.0573,2015-08-01 00:00:00,medium,India,landslide
3843785,7923,26.49349035,91.72137514,2015-09-01 00:00:00,medium,India,landslide
3843789,6059,-5.8141,-35.2059,2014-06-15 00:00:00,medium,Brazil,landslide
3843790,7350,34.8482,73.5651,2015-10-26 00:00:00,medium,Pakistan,landslide
3843791,533,9.2903,123.26,2008-05-13 00:00:00,medium,Philippines,landslide
3843792,8399,46.1857,-123.7518,2014-01-23 14:07:00,unknown,United States,landslide
3843793,8893,11.3742,77.899,2015-10-31 00:00:00,small,India,landslide
3843795,5596,6.9615,122.0727,2013-10-09 00:00:00,medium,Philippines,landslide
3843796,2782,7.2805,80.6136,2010-12-04 23:00:00,medium,Sri Lanka,landslide
3843799,8521,45.9159,-123.1427,2012-12-16 21:17:00,unknown,United States,landslide
3843801,2818,47.0014,-122.1817,2010-12-12 04:30:00,medium,United States,landslide
3843805,4782,-6.9889,107.4471,2013-03-25 08:00:00,large,Indonesia,landslide
3843806,7338,7.6483,125.6118,2015-08-17 18:30:00,medium,Philippines,landslide
3843807,3605,29.6491,94.3615,2011-06-13 08:00:00,medium,China,landslide
3843810,2306,27.58124358,83.85213651000002,2010-08-21 23:00:00,medium,Nepal,landslide
3843811,9154,27.5072,86.1424,2016-07-18 00:00:00,large,Nepal,landslide
3843813,8260,44.6567,-123.7496,2014-12-20 15:23:00,unknown,United States,landslide
3843815,8405,7.8794,98.2916,2015-09-26 23:00:00,medium,Thailand,landslide
3843816,96,23.4535,120.4256,2007-06-24 00:00:00,medium,China,landslide
3843817,3584,28.8848,113.5538,2011-06-10 08:00:00,medium,China,landslide
3843818,4557,33.303000000000004,77.8876,2012-09-16 00:00:00,medium,India,landslide
3843820,3839,32.1896,77.187,2011-07-25 08:00:00,medium,India,landslide
3843822,4489,9.8232,77.1498,2012-08-17 00:00:00,medium,India,landslide
